Conta,2021,2022,2023,2024,2025
Receita Líquida,1000000,1200000,1500000,1800000,2000000
EBITDA,200000,250000,300000,350000,400000
Lucro Líquido,80000,100000,120000,140000,160000
Ativo Circulante,500000,600000,750000,900000,1000000
Ativo Total,1500000,1800000,2250000,2700000,3000000
Estoque,150000,180000,225000,270000,300000
Passivo Circulante,400000,450000,500000,550000,600000
Passivo Exigível Total,800000,900000,1000000,1100000,1200000
Dívida Bruta,600000,650000,700000,750000,800000
Caixa e Equivalentes,100000,120000,150000,180000,200000
Patrimônio Líquido,700000,900000,1250000,1600000,1800000
Fluxo de Caixa Operacional,180000,220000,270000,320000,360000
